"M","S","G","Y","O"
"M","T","R","K","S"
"M","T","R","Y","O"
"M","Z","H","L","D"
"N","A","T","E","N"
"N","E","T","A","S"
"N","I","B","A","S"
"N","T","G","A","Z"
"N","T","H","O","L"
"N","U","G","Y","O"
"N","U","H","C","M"
"O","B","A","S","E"
"O","D","A","S",""
"O","R","C","A","Y"
"O","R","G","E",""
"O","R","M","A",""
"O","S","M","E","N"
"O","S","T","I","M"
"O","T","K","A","R"
"O","T","T","O",""
"O","Y","A","K","C"
"O","Y","A","Y","O"
"O","Y","L","U","M"
"O","Y","Y","A","T"
"O","Z","G","Y","O"
"O","Z","K","G","Y"
"O","Z","R","D","N"
"O","Z","S","U","B"
"P","A","G","Y","O"
"P","A","M","E","L"
"P","A","P","I","L"
"P","A","R","S","N"
"P","C","I","L","T"
"P","E","G","Y","O"
"P","E","K","G","Y"
"P","E","N","G","D"
"P","E","N","T","A"
"P","E","T","K","M"
"P","E","T","U","N"
"P","G","S","U","S"
"P","I","N","S","U"
"P","K","A","R","T"
"P","K","E","N","T"
"P","L","T","U","R"
"P","N","L","S","N"
"P","N","S","U","T"
"P","O","L","H","O"
"P","O","L","T","K"
"P","R","D","G","S"
"P","R","K","A","B"
"P","R","K","M","E"
"P","R","Z","M","A"
"P","S","D","T","C"
"P","S","G","Y","O"
"Q","N","B","F","B"
"Q","N","B","F","L"
"Q","U","A","G","R"
"R","A","L","Y","H"
"R","A","Y","S","G"
"R","H","E","A","G"
"R","N","P","O","L"
"R","O","D","R","G"
"R","O","Y","A","L"
"R","T","A","L","B"
"R","U","B","N","S"
"R","Y","G","Y","O"
"R","Y","S","A","S"
"S","A","F","K","R"
"S","A","H","O","L"
"S","A","M","A","T"
"S","A","N","E","L"
"S","A","N","F","M"
"S","A","N","K","O"
"S","A","R","K","Y"
"S","A","S","A",""
"S","A","Y","A","S"
"S","E","G","Y","O"
"S","E","K","F","K"
"S","E","K","U","R"
"S","E","L","E","C"
"S","E","L","G","D"
"S","E","L","V","A"
"S","E","Y","K","M"
"S","I","L","V","R"
"S","I","S","E",""
"S","K","B","N","K"
"S","K","T","A","S"
"S","M","A","R","T"
"S","M","R","T","G"
"S","N","G","Y","O"
"S","N","I","C","A"
"S","N","K","R","N"
"S","N","P","A","M"
"S","O","D","S","N"
"S","O","K","M",""
"S","O","N","M","E"
"S","R","V","G","Y"
"S","U","M","A","S"
"S","U","N","T","K"
"S","U","W","E","N"
"T","A","T","G","D"
"T","A","V","H","L"
"T","B","O","R","G"
"T","C","E","L","L"
"T","D","G","Y","O"
"T","E","K","T","U"
"T","E","R","A",""
"T","E","T","M","T"
"T","E","Z","O","L"
"T","G","S","A","S"
"T","H","Y","A","O"
"T","K","F","E","N"
"T","K","N","S","A"
"T","L","M","A","N"
"T","M","P","O","L"
"T","M","S","N",""
"T","O","A","S","O"
"T","R","C","A","S"
"T","R","G","Y","O"
"T","R","I","L","C"
"T","S","G","Y","O"
"T","S","K","B",""
"T","S","P","O","R"
"T","T","K","O","M"
"T","T","R","A","K"
"T","U","C","L","K"
"T","U","K","A","S"
"T","U","P","R","S"
"T","U","R","E","X"
"T","U","R","G","G"
"T","U","R","S","G"
"U","F","U","K",""
"U","L","A","S",""
"U","L","K","E","R"
"U","L","U","F","A"
"U","L","U","S","E"
"U","L","U","U","N"
"U","N","L","U",""
"U","S","A","K",""
"U","Z","E","R","B"
"V","A","K","B","N"
"V","A","K","F","N"
"V","A","K","K","O"
"V","A","N","G","D"
"V","B","T","Y","Z"
"V","E","R","T","U"
"V","E","R","U","S"
"V","E","S","B","E"
"V","E","S","T","L"
"V","K","F","Y","O"
"V","K","G","Y","O"
"V","K","I","N","G"
"Y","A","P","R","K"
"Y","A","T","A","S"
"Y","A","Y","L","A"
"Y","B","T","A","S"
"Y","E","O","T","K"
"Y","E","S","I","L"
"Y","G","G","Y","O"
"Y","G","Y","O",""
"Y","K","B","N","K"
"Y","K","S","L","N"
"Y","O","N","G","A"
"Y","U","N","S","A"
"Y","Y","A","P","I"
"Y","Y","L","G","D"
"Z","E","D","U","R"
"Z","O","R","E","N"
"Z","R","G","Y","O"
